Table 2
Low-redshift Sample

Name (1)	f_x, (10^-11 cgs) (2)	z^a (3)	L_X, (erg s^-1) (4)	T_X (keV) (5)	M_Y (10^14 M_sun) (6)	M_G (10^14 M_sun) (7)	M_T (10^14 M_sun) (8)	Merger? (9)	
A 3571	7.42	0.0386	2.37 x 10^44	6.81 +or- 0.10	5.90 +or- 0.06	5.30 +or- 0.07	6.61 +or- 0.15	 ... 	
A 2199	6.43	0.0304	1.27 x 10^44	3.99 +or- 0.10	2.77 +or- 0.05	2.80 +or- 0.04	2.92 +or- 0.11	 ... 	
2A 0335	6.24	0.0346	1.60 x 10^44	3.43 +or- 0.10	2.33 +or- 0.05	2.53 +or- 0.05	2.32 +or- 0.11	 ... 	
A 496	5.33	0.0328	1.23 x 10^44	4.12 +or- 0.07	2.96 +or- 0.04	3.02 +or- 0.04	3.07 +or- 0.07	 ... 	
A 3667	4.64	0.0557	3.14 x 10^44	6.33 +or- 0.06	7.35 +or- 0.07	8.62 +or- 0.15	6.74 +or- 0.09	check	
A 754	4.35	0.0542	2.78 x 10^44	8.73 +or- 0.00	8.47 +or- 0.13	6.68 +or- 0.12	11.05 +or- 0.00	check	
A 85	4.30	0.0557	2.91 x 10^44	6.45 +or- 0.10	5.98 +or- 0.07	5.91 +or- 0.10	6.03 +or- 0.14	 ... 	
A 2029	4.23	0.0779	5.72 x 10^44	8.22 +or- 0.16	8.64 +or- 0.14	8.35 +or- 0.20	8.66 +or- 0.25	 ... 	
A 478	4.16	0.0881	7.24 x 10^44	7.96 +or- 0.27	8.15 +or- 0.17	7.82 +or- 0.12	8.20 +or- 0.42	 ... 	
A 1795	4.14	0.0622	3.52 x 10^44	6.14 +or- 0.10	5.46 +or- 0.06	5.34 +or- 0.06	5.58 +or- 0.14	 ... 	
A 3558	4.11	0.0469	1.96 x 10^44	4.88 +or- 0.10	4.78 +or- 0.07	5.43 +or- 0.09	4.54 +or- 0.15	check	
A 2142	3.94	0.0904	7.20 x 10^44	10.04 +or- 0.26	11.96 +or- 0.20	11.91 +or- 0.16	11.70 +or- 0.45	 ... 	
A 2256	3.61	0.0581	2.66 x 10^44	8.37 +or- 0.24	7.84 +or- 0.15	6.14 +or- 0.09	10.33 +or- 0.45	check	
A 4038	3.48	0.0288	6.18 x 10^43	2.61 +or- 0.05	1.65 +or- 0.02	2.03 +or- 0.05	1.52 +or- 0.04	 ... 	
A 2147	3.47	0.0355	9.40 x 10^43	3.83 +or- 0.12	3.10 +or- 0.08	3.52 +or- 0.14	3.15 +or- 0.15	check	
A 3266	3.39	0.0602	2.69 x 10^44	8.63 +or- 0.18	9.00 +or- 0.13	7.66 +or- 0.12	10.82 +or- 0.34	check	
A 401	3.19	0.0743	3.90 x 10^44	7.72 +or- 0.30	8.63 +or- 0.24	9.27 +or- 0.20	7.88 +or- 0.46	 ... 	
A 2052	2.93	0.0345	7.47 x 10^43	3.03 +or- 0.07	1.84 +or- 0.03	1.95 +or- 0.04	1.91 +or- 0.07	 ... 	
Hydra A	2.91	0.0549	1.93 x 10^44	3.64 +or- 0.06	2.83 +or- 0.03	3.34 +or- 0.04	2.51 +or- 0.06	 ... 	
A 119	2.47	0.0445	1.06 x 10^44	5.72 +or- 0.00	4.50 +or- 0.03	3.61 +or- 0.06	5.80 +or- 0.00	check	
A 2063	2.39	0.0342	5.98 x 10^43	3.57 +or- 0.19	2.21 +or- 0.08	2.13 +or- 0.07	2.46 +or- 0.19	 ... 	
A 1644	2.33	0.0475	1.14 x 10^44	4.61 +or- 0.14	4.21 +or- 0.09	4.66 +or- 0.11	4.16 +or- 0.19	check	
A 3158	2.30	0.0583	1.72 x 10^44	4.67 +or- 0.07	4.13 +or- 0.05	4.74 +or- 0.09	3.67 +or- 0.09	 ... 	
MKW 3s	2.08	0.0453	9.28 x 10^43	3.03 +or- 0.05	2.09 +or- 0.03	2.52 +or- 0.05	1.90 +or- 0.05	 ... 	
A 1736	2.04	0.0449	8.94 x 10^43	2.95 +or- 0.09	2.10 +or- 0.06	2.10 +or- 0.13	2.10 +or- 0.09	check	
EXO 0422	2.01	0.0382	6.35 x 10^43	2.84 +or- 0.09	1.51 +or- 0.04	1.46 +or- 0.06	1.73 +or- 0.09	 ... 	
A 4059	2.00	0.0491	1.05 x 10^44	4.25 +or- 0.08	2.81 +or- 0.04	2.58 +or- 0.04	3.19 +or- 0.09	 ... 	
A 3395	1.95	0.0506	1.09 x 10^44	5.10 +or- 0.17	6.74 +or- 0.18	6.74 +or- 0.20	6.74 +or- 0.34	check	
A 2589	1.94	0.0411	7.09 x 10^43	3.17 +or- 0.27	1.94 +or- 0.11	2.01 +or- 0.10	2.04 +or- 0.26	 ... 	
A 3112	1.89	0.0759	2.43 x 10^44	5.19 +or- 0.21	4.20 +or- 0.11	4.12 +or- 0.09	4.28 +or- 0.26	 ... 	
A 3562	1.84	0.0489	9.58 x 10^43	4.31 +or- 0.12	3.28 +or- 0.07	3.48 +or- 0.09	3.26 +or- 0.14	 ... 	
A 1651	1.80	0.0853	2.93 x 10^44	6.41 +or- 0.25	5.78 +or- 0.15	5.55 +or- 0.12	5.89 +or- 0.35	 ... 	
A 399	1.78	0.0713	2.01 x 10^44	6.49 +or- 0.17	6.18 +or- 0.11	5.66 +or- 0.12	6.95 +or- 0.27	check	
A 2204	1.74	0.1511	9.35 x 10^44	8.55 +or- 0.58	9.40 +or- 0.43	9.32 +or- 0.28	8.87 +or- 0.90	 ... 	
A 576	1.72	0.0401	5.99 x 10^43	3.68 +or- 0.11	2.34 +or- 0.05	2.27 +or- 0.06	2.57 +or- 0.12	 ... 	
A 2657	1.62	0.0402	5.66 x 10^43	3.62 +or- 0.15	2.24 +or- 0.06	2.14 +or- 0.05	2.51 +or- 0.16	 ... 	
A 2634	1.61	0.0305	3.20 x 10^43	2.96 +or- 0.09	1.74 +or- 0.04	1.83 +or- 0.04	1.85 +or- 0.08	 ... 	
A 3391	1.58	0.0551	1.05 x 10^44	5.39 +or- 0.19	4.06 +or- 0.10	3.58 +or- 0.09	4.58 +or- 0.24	 ... 	
A 2065	1.56	0.0723	1.82 x 10^44	5.44 +or- 0.09	4.98 +or- 0.07	4.90 +or- 0.09	5.31 +or- 0.14	check	
A 1650	1.53	0.0823	2.33 x 10^44	5.29 +or- 0.17	4.59 +or- 0.11	4.78 +or- 0.10	4.39 +or- 0.21	 ... 	
A 3822	1.48	0.0760	1.91 x 10^44	5.23 +or- 0.30	4.63 +or- 0.18	4.50 +or- 3.91	4.98 +or- 0.43	check	
S 1101	1.46	0.0564	1.03 x 10^44	2.44 +or- 0.08	1.57 +or- 0.03	1.99 +or- 0.05	1.36 +or- 0.07	 ... 	
A 2163	1.38	0.2030	1.37 x 10^45	14.72 +or- 0.31	21.98 +or- 0.31	24.17 +or- 0.34	22.83 +or- 0.72	check	
