# ID,H_BETA_FLUX,H_BETA_FLUX_ERR,OIII_5007_FLUX,OIII_5007_FLUX_ERR,NII_6548_FLUX,NII_6548_FLUX_ERR,H_ALPHA_FLUX,H_ALPHA_FLUX_ERR,NII_6584_FLUX,NII_6584_FLUX_ERR,SII_6717_FLUX,SII_6717_FLUX_ERR,AGN,COMPOSITE
3125409,86.58432,3.346837,66.42184,2.4307258,7.475177,0.5123848,253.10156,3.545179,22.54686,1.545469,9.673275,1.4598293,true,false
23355,271.39444,4.537376,2786.207,19.131567,421.42096,2.9294581,1368.8098,10.534632,1271.1029,8.835914,432.6509,5.864027,true,false
32058,19.689219,1.5964729,3.2619731,1.4291466,11.092092,0.5002281,87.898926,1.9721076,33.456306,1.5088019,16.45283,1.3639487,true,false
4539328,223.963,4.5654783,1681.9178,13.695071,228.72717,2.0502572,765.15875,7.262075,689.89386,6.1840425,197.69261,3.8082373,true,false
4523,77.19976,8.925529,84.26802,8.618954,101.87596,5.0843935,161.51205,15.449374,307.28143,15.335688,62.476784,11.013952,true,false
27292,169.88402,4.9186153,226.88977,5.852939,791.28235,4.7936697,1990.7286,14.726956,2386.6902,14.458799,415.60162,7.8614097,true,false
30628,123.97802,6.379846,59.54483,5.8267612,129.90913,3.1365047,745.14825,11.597854,391.83594,9.460412,125.290405,7.6904116,true,false
32033,175.10974,19.013224,97.65997,10.835008,69.40291,5.702345,407.19235,28.121103,209.3352,17.19957,81.87221,14.451654,true,false
32217,58.674065,5.772067,120.35791,6.064553,191.60942,3.2649858,359.20648,10.121474,577.93823,9.84794,244.5137,7.97762,true,false
33494,858.759,12.904003,1476.3602,17.277016,658.4437,6.2240534,3409.9575,27.994596,1986.0184,18.773159,742.70197,14.315327,true,false
35845,31.54426,3.6983016,48.49635,4.203731,48.05818,1.6166829,175.2779,5.1704364,144.95457,4.8762836,55.444546,4.3322625,true,false
36706,468.7243,15.232087,855.33954,18.000889,1002.39197,11.473014,1721.7391,31.776985,3023.4453,34.60522,1400.4806,28.385052,true,false
40581,391.4831,6.731001,263.30222,5.686338,170.16396,2.259387,1594.1039,13.856301,513.2538,6.8148255,363.9076,6.005535,true,false
51473,81.609726,6.1249156,284.06082,7.8416495,133.42953,3.252053,290.63477,9.761251,402.45428,9.808931,135.98781,8.258426,true,false
51792,172.87369,12.107335,246.89528,11.78183,145.88853,5.5803256,635.29175,20.999975,440.0335,16.831532,170.70085,14.734926,true,false
51965,224.13655,9.9669285,481.20004,12.2653055,869.50934,10.338055,1776.4606,30.404581,2622.641,31.181925,1312.8398,25.734184,true,false
52010,231.4108,8.163491,486.312,10.454664,365.44214,4.9118166,1014.56287,15.431884,1102.2579,14.815158,483.72583,12.379916,true,false
