RAJ2000,logLHa
5.0722499999999995,38.69
39.11595833333333,36.74
56.702124999999995,38.11
26.874541666666662,38.16
157.0978333333333,37.75
10.674249999999999,36.34
23.46208333333333,35.98
187.44499999999996,37.64
202.46962499999998,39.86
202.49829166666663,38.57
189.43166666666664,39.67
190.50966666666665,38.1
190.9167083333333,37.84
185.4789583333333,39.93
198.95554166666665,38.84
194.1820833333333,39.39
169.73316666666665,38.43
170.06262499999997,39.91
24.174041666666664,36.73
40.669875,41.53
148.88824999999997,38.6
148.9684583333333,40.95
186.26574999999997,39.46
186.3502083333333,38.21
186.5492083333333,37.95
187.70591666666664,39.83
187.99674999999996,39.77
188.91616666666664,38.56
189.2075833333333,40.27
188.86012499999998,38.62
192.72145833333332,37.98
160.99054166666664,39.48
161.6905833333333,39.15
184.70679166666665,39.7
185.72874999999996,39.59
210.80241666666663,39.14
189.99787499999996,39.32
161.95666666666665,38.34
184.7400833333333,38.65
167.87904166666664,40.25
10.091999999999999,34.91
13.017916666666665,39.27
20.027916666666663,38.84
21.146124999999998,39.98
21.198791666666665,38.36
25.759791666666665,40.57
26.977166666666662,38.03
32.088125,38.17
35.63762499999999,38.85
36.82045833333333,38.36
38.09974999999999,38.71
39.82037499999999,37.51
40.10004166666666,37.95
40.270041666666664,39.58
40.43845833333333,38.44
40.875249999999994,38.27
40.91916666666666,38.36
44.926249999999996,39.14
67.70495833333332,38.96
94.657125,41.11
111.80983333333332,40.83
114.21416666666666,39.87
120.47179166666665,38.0
123.66695833333331,37.67
132.10595833333332,38.42
133.38641666666666,39.5
133.17229166666664,37.85
138.42933333333332,39.99
137.90624999999997,38.75
137.39045833333333,39.89
138.5213333333333,41.51
139.82725,38.08
140.51108333333332,38.97
143.04212499999997,40.05
146.81441666666666,37.84
147.59262499999997,38.29
150.2168333333333,39.11
150.82945833333332,38.93
150.4913333333333,41.05
151.30825,38.17
153.56291666666664,39.71
154.57074999999998,39.72
154.52349999999998,39.13
154.60366666666664,38.55
154.97912499999998,39.62
155.86254166666666,38.96
156.82654166666666,40.0
159.69108333333332,40.53
160.87979166666665,39.57
161.65349999999998,38.62
161.64570833333332,41.34
162.07037499999998,37.89
162.81766666666664,39.31
162.80974999999998,37.94
163.12970833333333,39.12
165.09979166666665,38.39
165.0774583333333,38.77
165.31737499999997,38.99
165.85583333333332,39.15
166.4524583333333,39.1
168.65416666666664,39.41
168.96658333333332,39.47
169.22775,39.64
169.2457083333333,38.26
169.6053333333333,38.81
170.07091666666665,37.82
170.26224999999997,38.57
170.27854166666665,38.28
171.18179166666664,39.75
171.53574999999998,38.61
173.14558333333332,38.17
173.45549999999997,40.31
176.53241666666665,40.29
177.31404166666664,38.91
178.20604166666664,37.7
178.3072083333333,39.15
179.11737499999998,39.99
179.48404166666666,40.07
179.63091666666665,38.13
179.85495833333331,37.97
180.36204166666664,39.64
180.79037499999998,39.79
181.01595833333332,39.04
181.3924583333333,40.01
181.50483333333332,39.07
181.59633333333332,41.5
182.0250833333333,39.11
182.32375,38.3
182.37412499999996,38.66
182.40037499999997,38.63
182.49416666666664,37.98
182.6402083333333,38.54
182.63608333333332,40.94
182.76820833333332,40.25
183.07179166666666,38.17
183.19354166666665,38.5
183.32025,39.48
183.77091666666664,38.75
183.9132083333333,38.46
183.9768333333333,39.02
183.9620833333333,38.84
184.17549999999997,37.12
184.3735833333333,37.18
184.40324999999999,37.77
