T,Z
5.19999981,8.51
-2.20000005,8.59
5.19999981,8.8
5.80000019,8.76
9.69999981,8.55
0.899999976,8.74
3.0,8.66
6.4000001,8.53
-2.0999999,8.69
5.0,8.75
1.89999998,8.66
4.0,8.68
5.69999981,8.75
6.4000001,8.61
5.30000019,8.83
5.19999981,8.46
5.80000019,8.44
1.0,8.74
-2.20000005,8.68
-2.9000001,8.52
3.0,8.72
7.9000001,8.29
-4.9000001,8.8
-3.0,8.68
2.0999999,8.74
2.0,8.75
-2.20000005,8.61
2.0,8.42
-4.80000019,8.8
-3.5999999,8.22
3.0999999,8.79
-4.9000001,8.75
4.0,8.79
-2.0,8.71
-4.0,8.57
5.69999981,8.68
-4.9000001,8.62
10.0,8.52
-4.9000001,8.72
-5.0,8.7
1.0,8.73
3.0,8.63
-2.0,8.75
-4.9000001,8.66
1.29999995,8.75
9.80000019,8.29
9.89999962,8.38
4.0999999,8.86
9.80000019,8.49
6.5,8.69
5.0,8.88
6.0999999,8.54
9.89999962,8.35
9.69999981,8.34
4.0999999,8.65
9.69999981,8.6
3.0999999,8.75
9.89999962,8.37
4.4000001,8.67
7.9000001,8.35
9.89999962,8.69
8.69999981,8.45
7.69999981,8.67
8.80000019,8.49
8.0,8.68
6.0,8.55
10.0,8.16
8.0,8.35
8.0,8.21
5.80000019,8.73
-4.80000019,8.67
9.69999981,8.74
8.89999962,8.02
8.10000038,8.37
8.80000019,8.35
9.89999962,8.18
9.69999981,8.5
8.19999981,8.21
9.89999962,8.19
6.5,8.32
9.80000019,8.38
4.0999999,8.66
8.69999981,8.62
5.9000001,8.86
4.0,8.72
9.69999981,8.03
9.69999981,8.49
9.89999962,8.37
9.10000038,8.34
8.89999962,8.41
8.69999981,8.43
8.10000038,8.46
2.0,8.79
6.0,8.65
7.80000019,8.62
8.0,8.18
9.89999962,8.31
3.0,8.64
5.0,8.77
9.89999962,8.26
9.80000019,8.43
6.5,8.25
3.0999999,8.67
9.89999962,8.39
9.80000019,8.33
6.4000001,8.21
9.80000019,8.3
6.5,8.53
-5.0,8.56
4.9000001,8.75
8.0,8.63
8.89999962,8.34
9.89999962,8.22
8.19999981,8.48
8.69999981,8.63
6.5,8.68
9.89999962,8.17
8.69999981,8.55
9.89999962,8.4
0.0,8.75
8.69999981,8.49
9.80000019,8.46
8.10000038,8.49
9.80000019,8.55
9.0,8.62
10.0,8.21
-4.69999981,8.66
8.69999981,8.54
6.4000001,8.14
9.80000019,7.94
7.0,8.48
9.89999962,8.37
-4.5999999,8.87
9.80000019,8.51
8.0,8.57
10.0,8.57
9.69999981,8.36
7.5999999,8.45
9.80000019,8.24
1.10000002,8.63
9.80000019,8.18
9.89999962,8.31
8.80000019,8.38
9.80000019,8.73
4.0,8.74
8.69999981,8.33
6.0,8.76
9.89999962,8.28
6.5999999,8.33
5.19999981,8.79
9.80000019,8.43
9.89999962,8.34
9.10000038,8.69
9.0,8.36
9.80000019,8.28
5.69999981,8.24
8.80000019,8.33
8.10000038,8.32
-4.69999981,8.41
5.19999981,8.66
4.69999981,8.7
1.0,8.7
5.69999981,8.71
9.89999962,8.35
3.0,8.62
8.69999981,8.57
3.0,8.71
8.0,8.46
5.80000019,8.73
3.29999995,8.71
6.69999981,8.42
7.9000001,8.59
1.29999995,8.72
3.0999999,8.51
4.9000001,8.75
3.79999995,8.65
6.69999981,8.67
6.0,8.7
5.9000001,8.52
3.0,8.7
3.0999999,8.76
6.5,8.67
6.5,8.46
6.5,8.64
6.5,8.32
6.5,8.25
6.5,8.58
6.5,8.37
6.5,8.62
6.5,8.37
6.5,8.55
6.5,8.33
6.69999981,8.39
6.5,8.53
6.5,8.5
6.5,8.35
-4.9000001,8.71
9.69999981,8.24
2.0,8.74
5.0,8.55
-1.89999998,8.77
-0.100000001,8.72
2.20000005,8.78
-0.100000001,8.62
-3.0999999,8.73
-2.20000005,8.62
-2.0,8.45
2.4000001,8.67
-4.9000001,8.75
-4.80000019,8.78
-4.80000019,8.58
-1.0,8.43
3.0999999,8.78
-5.0,8.69
10.0,8.55
-5.0,8.81
-4.0999999,8.56
6.9000001,8.45
6.5,8.74
-1.89999998,8.71
2.29999995,8.74
3.0999999,8.38
5.9000001,8.61
3.0,8.55
-1.89999998,8.7
2.0,8.79
-0.899999976,8.53
5.0,8.69
1.89999998,8.52
3.29999995,8.76
5.69999981,8.79
5.19999981,8.88
6.4000001,8.53
4.0,8.82
6.0999999,8.44
4.0,8.82
3.5999999,8.69
-1.0,8.68
5.30000019,8.82
4.30000019,8.72
6.0,8.58
4.0999999,8.64
-3.20000005,8.7
5.9000001,8.57
4.0999999,8.84
-2.0999999,8.25
2.0,8.62
4.0999999,8.49
6.30000019,8.78
-1.89999998,8.6
-4.80000019,8.59
3.0999999,8.61
1.10000002,8.65
3.0999999,8.76
2.0,8.7
4.0,8.66
2.9000001,8.69
5.80000019,8.71
1.10000002,8.68
4.0,8.82
4.0,8.56
